fxdj,gmbz,cplx,xsjz,xsqs,tzfw,cpmc,tzqx,sylx,fxyh,fxdq,yqsy,kfsh,qsje
浮动收益型,网上，手机，PAD，网点,,2016-02-18 10:00,焦点联动系列,,股票指数表现联动（沪深300指数向上触碰型）非保本理财计划,,,招商银行,,2016-05-20,,
浮动收益型,网上，手机，PAD，网点,,2016-02-18 10:00,焦点联动系列,,布伦特原油（SPGCBRP INDEX）表现联动（布伦特原油（SPGCBRP INDEX）向下触碰型）非保本理财计划,,,招商银行,,2016-05-19,,
固定收益型,网上，手机，PAD，网点,,2016-02-18 10:00,招银进宝系列,,鼎鼎成金14625号理财计划-南宁分行销售,188,4.65％,招商银行,,2016-08-29,,
固定收益型,网上，手机，PAD，网点,,2016-02-19 10:00,招银进宝系列,,金葵花增利系列164号理财计划,,,招商银行,,2016-05-20,,
固定收益型,网上，手机，PAD，网点,,2016-02-19 10:00,招银进宝系列,,睿享14期14号理财计划-南京分行销售,90,4.60%,招商银行,,2016-05-26,,
固定收益型,网上，手机，PAD，网点,,2016-02-22 10:00,招银进宝系列,,私人增利系列47号理财计划,,,招商银行,,2016-05-19,,
固定收益型,网上，手机，PAD，网点,,2016-01-27 10:00,招银进宝系列,,澳元鼎鼎成金0173号理财计划,,2.75％,招商银行,,2016-08-04,,
固定收益型,网上，手机，PAD，网点,,2016-02-19 10:00,招银进宝系列,,金葵花增利系列161号理财计划,,,招商银行,,2016-05-20,,
固定收益型,网上，手机，PAD，网点,,2016-01-12 09:00,招银进宝系列,,鼎鼎成金901744号理财计划-福州分行销售,,4.6%,招商银行,,2016-12-26,,
浮动收益型,网上，手机，PAD，网点,,2016-01-04 10:00,焦点联动系列,,美元指数表现联动（美元指数期末看涨价差型）非保本理财计划,,,招商银行,,2016-08-31,,
浮动收益型,网上，手机，PAD，网点,,2016-01-05 10:00,A009 结构性存款系列,,黄金两层区间六个月结构性存款,,,招商银行,,2016-07-07,,
固定收益型,网上，手机，PAD，网点,,2016-01-27 10:00,招银进宝系列,,美元鼎鼎成金0200号理财计划,,3.00％,招商银行,,2018-02-01,,
固定收益型,网上，手机，PAD，网点,,2016-01-27 10:00,招银进宝系列,,美元鼎鼎成金0232号理财计划,,2.30％,招商银行,,2017-02-02,,
浮动收益型,网上，手机，PAD，网点,,2016-01-05 10:00,A009 结构性存款系列,,黄金两层区间十二个月结构性存款,,,招商银行,,2017-01-06,,
固定收益型,网上，手机，PAD，网点,,2016-01-05 10:00,招银进宝系列,,鼎鼎成金14360号理财计划-大连分行销售,125,5.10％,招商银行,,2016-05-16,,
固定收益型,网上，手机，PAD，网点,,2016-01-05 10:00,招银进宝系列,,鼎鼎成金14302号理财计划-苏州分行销售,170,5.00％,招商银行,,2016-07-02,,
固定收益型,网上，手机，PAD，网点,,2016-01-05 09:00,招银进宝系列,,鼎鼎成金901741号理财计划-福州分行销售,,,招商银行,,2017-01-04,,
固定收益型,网上，手机，PAD，网点,,2016-01-06 10:00,招银进宝系列,,鼎鼎成金14087号理财计划-广州分行销售,122,5.10％,招商银行,,2016-05-13,,
固定收益型,网上，手机，PAD，网点,,2016-01-06 10:00,招银进宝系列,,鼎鼎成金14372号理财计划-杭州分行销售,118,4.60％,招商银行,,2016-05-10,,
固定收益型,网上，手机，PAD，网点,,2016-01-06 10:00,招银进宝系列,,美元鼎鼎成金0197号理财计划,,3.10％,招商银行,,2018-01-11,,
固定收益型,网上，手机，PAD，网点,,2016-01-06 09:00,招银进宝系列,,鼎鼎成金901743号理财计划-福州分行销售,,,招商银行,,2017-01-05,,
固定收益型,网上，手机，PAD，网点,,2016-01-07 10:00,招银进宝系列,,鼎鼎成金960087号理财计划,,,招商银行,,2017-01-12,,
固定收益型,网上，手机，PAD，网点,,2016-01-08 10:00,招银进宝系列,,鼎鼎成金14459号理财计划-南宁分行销售,188,5.10％,招商银行,,2016-07-19,,
固定收益型,网上，手机，PAD，网点,,2016-01-08 10:00,招银进宝系列,,鼎鼎成金980041号理财计划,,4.9%,招商银行,,2016-07-13,,
固定收益型,网上，手机，PAD，网点,,2016-01-07 10:00,招银进宝系列,,鼎鼎成金901739号理财计划-广州分行销售,,,招商银行,,2016-07-19,,
固定收益型,网上，手机，PAD，网点,,2016-01-06 10:00,招银进宝系列,,美元鼎鼎成金0214号理财计划,,1.85％,招商银行,,2016-07-14,,
固定收益型,网上，手机，PAD，网点,,2015-11-30 10:00,招银进宝系列,,美元鼎鼎成金0186号理财计划,,3.10％,招商银行,,2017-11-30,,
固定收益型,网上，手机，PAD，网点,,2016-01-06 10:00,招银进宝系列,,美元鼎鼎成金0229号理财计划,,2.50％,招商银行,,2017-01-12,,
固定收益型,网上，手机，PAD，网点,,2016-01-08 10:00,招银进宝系列,,鼎鼎成金930085号理财计划,,4.9%,招商银行,,2016-05-11,,
固定收益型,网上，手机，PAD，网点,,2016-01-05 09:00,招银进宝系列,,鼎鼎成金901742号理财计划-福州分行销售,,,招商银行,,2017-01-04,,
固定收益型,网上，手机，PAD，网点,,2015-11-30 10:00,招银进宝系列,,美元鼎鼎成金0154号理财计划,,2.30％,招商银行,,2016-12-01,,
固定收益型,网上，手机，PAD，网点,,2015-11-30 10:00,招银进宝系列,,澳元鼎鼎成金0166号理财计划,,2.75％,招商银行,,2016-06-02,,
浮动收益型,网上，手机，PAD，网点,,2015-12-01 10:00,A009 结构性存款系列,,黄金两层区间十二个月结构性存款,,,招商银行,,2016-12-02,,
固定收益型,网上，手机，PAD，网点,,2015-11-30 10:00,招银进宝系列,,鼎鼎成金14266号理财计划-长春分行销售,171,4.75％,招商银行,,2016-05-23,,
固定收益型,网上，手机，PAD，网点,,2015-12-04 10:00,招银进宝系列,,鼎鼎成金960082号理财计划,,,招商银行,,2016-12-08,,
浮动收益型,网上，手机，PAD，网点,,2015-12-01 10:00,A009 结构性存款系列,,黄金两层区间六个月结构性存款,,,招商银行,,2016-06-03,,
固定收益型,网上，手机，PAD，网点,,2015-12-03 10:00,招银进宝系列,,鼎鼎成金14242号理财计划-南宁分行销售,202,5.30％,招商银行,,2016-06-27,,
固定收益型,网上，手机，PAD，网点,,2015-12-01 10:00,招银进宝系列,,鼎鼎成金14265号理财计划-长春分行销售,178,5.00％,招商银行,,2016-06-03,,
固定收益型,网上，手机，PAD，网点,,2015-12-03 10:00,招银进宝系列,,鼎鼎成金14141号理财计划-杭州分行销售,182,5.00％,招商银行,,2016-06-09,,
固定收益型,网上，手机，PAD，网点,,2015-12-04 10:00,招银进宝系列,,鼎鼎成金0179号理财计划,,1.50％,招商银行,,2016-06-10,,
固定收益型,网上，手机，PAD，网点,,2015-12-07 10:00,招银进宝系列,,鼎鼎成金14243号理财计划-南宁分行销售,200,5.30％,招商银行,,2016-06-27,,
固定收益型,网上，手机，PAD，网点,,2015-12-04 10:00,招银进宝系列,,鼎鼎成金980036号理财计划,,,招商银行,,2016-06-08,,
固定收益型,网上，手机，PAD，网点,,2015-12-08 10:00,招银进宝系列,,鼎鼎成金14267号理财计划-长春分行销售,178,5.00％,招商银行,,2016-06-10,,
固定收益型,网上，手机，PAD，网点,,2015-12-04 10:00,招银进宝系列,,美元鼎鼎成金0188号理财计划,,3.10％,招商银行,,2017-12-07,,
固定收益型,网上，手机，PAD，网点,,2015-12-04 10:00,招银进宝系列,,美元鼎鼎成金0187号理财计划,,2.40％,招商银行,,2016-12-15,,
固定收益型,网上，手机，网点,,2015-12-04 10:00,招银进宝系列,,美元鼎鼎成金0155号理财计划,,1.80％,招商银行,,2016-06-09,,
固定收益型,网上，手机，网点,,2015-12-08 10:00,招银进宝系列,,鼎鼎成金901731号-厦门分行销售,,0.00%,招商银行,,2016-06-09,,
固定收益型,网上，手机，PAD，网点,,2015-12-09 10:00,招银进宝系列,,鼎鼎成金14318号理财计划-太原分行销售,148,4.90％,招商银行,,2016-05-13,,
固定收益型,网上，手机，PAD，网点,,2015-12-08 10:00,招银进宝系列,,鼎鼎成金14147号理财计划-无锡分行销售,345,5.00％,招商银行,,2016-11-24,,
固定收益型,网上，手机，PAD，网点,,2015-12-09 10:00,招银进宝系列,,鼎鼎成金13768号理财计划-福州分行销售,146,4.80％,招商银行,,2016-05-10,,
浮动收益型,网上，手机，PAD，网点,,2015-08-31 10:00,A009 结构性存款系列,,黄金两层区间十二个月结构性存款,,,招商银行,,2016-09-01,,
固定收益型,网上，手机，PAD，网点,,2015-12-10 10:00,招银进宝系列,,鼎鼎成金14142号理财计划-杭州分行销售,,5.00％,招商银行,,2016-06-16,,
固定收益型,网上，手机，PAD，网点,,2015-09-07 10:00,招银进宝系列,,鼎鼎成金960071号理财计划,,,招商银行,,2016-09-08,,
固定收益型,网上，手机，PAD，网点,,2015-12-11 10:00,招银进宝系列,,鼎鼎成金960083号理财计划,,,招商银行,,2016-12-22,,
浮动收益型,网上，手机，PAD，网点,,2015-09-08 10:00,A009 结构性存款系列,,黄金两层区间十二个月结构性存款,,,招商银行,,2016-09-09,,
浮动收益型,网上，手机，PAD，网点,,2015-09-14 10:00,A股掘金系列,,睿远稳健十四期理财计划,,,招商银行,,2018-09-18,,
固定收益型,网上，手机，PAD，网点,,2014-09-22 10:00,招银进宝系列,,债券积极套利3号,,,招商银行,,2016-09-26,,
固定收益型,网上，手机，PAD，网点,,2015-12-10 10:00,招银进宝系列,,鼎鼎成金14344号理财计划-南宁分行销售,,5.30％,招商银行,,2016-06-27,,
浮动收益型,网上，手机，PAD，网点,,2015-09-15 10:00,A009 结构性存款系列,,黄金两层区间十二个月结构性存款,,,招商银行,,2016-09-19,,
固定收益型,网上，手机，PAD，网点,,2014-10-15 10:00,招银进宝系列,,鼎鼎成金11571号理财计划-南京分行销售,,5.80％,招商银行,,2016-08-23,,
固定收益型,网上，手机，PAD，网点,,2014-11-14 10:00,招银进宝系列,,鼎鼎成金11575号理财计划-南京分行销售,,5.60％,招商银行,,2016-09-30,,
固定收益型,网上，手机，PAD，网点,,2015-09-14 10:00,招银进宝系列,,鼎鼎成金13730号理财计划-南京分行销售,335,5.50％,招商银行,,2016-08-23,,
固定收益型,网上，手机，PAD，网点,,2015-09-18 09:30,招银进宝系列,,美元日益月鑫理财计划A款60天,,,招商银行,,2025-09-22,,
固定收益型,网上，手机，PAD，网点,,2015-09-14 10:00,招银进宝系列,,鼎鼎成金960072号理财计划,,,招商银行,,2016-09-15,,
固定收益型,网上，手机，PAD，网点,,2015-12-11 10:00,招银进宝系列,,港币鼎鼎成金0180号理财计划,,1.50％,招商银行,,2016-06-16,,
,网上,,2007-12-12 00:00,招银进宝系列,,“金葵花”系列之“票据盈” 资金 信托理财计划（产品代码：3117）,,,招商银行,,2100-01-01,,
固定收益型,网点,,2014-11-17 10:00,招银进宝系列,,债券积极套利32号理财计划,,,招商银行,,2017-11-21,,
固定收益型,网上，手机，PAD，网点,,2014-11-28 10:00,招银进宝系列,,鼎鼎成金901457号理财计划-上海分行销售,,,招商银行,,2100-01-01,,
固定收益型,网上，手机，PAD，网点,,2014-10-29 10:00,招银进宝系列,,鼎鼎成金11599号理财计划-南京、上海分行销售,,5.50％,招商银行,,2016-09-30,,
固定收益型,网上，手机，PAD，网点,,2014-12-25 10:00,招银进宝系列,,睿逸月添利进取型,,,招商银行,,2025-01-08,,
浮动收益型,网上,,2007-12-13 00:00,A股掘金系列,,“金葵花”基金优选系列之“中投策略”理财计划（产品代码：8126）,,,招商银行,,2100-01-01,,
,网上,,2007-12-12 00:00,招银进宝系列,,“金葵花”尊享系列之 “银票通” 资金 信托理财计划（产品代码：3118）,,,招商银行,,2100-01-01,,
"QDII,浮动收益型",网上,,2007-12-28 00:00,海外寻宝系列,,招商银行“金葵花”－QDII系列之“摩根斯坦利亚洲股票基金”链接理财计划（代码：8137）,,,招商银行,,2100-01-01,,
浮动收益型,网上,,2008-01-07 00:00,A股掘金系列,,“金葵花”增强基金优选系列之“金选双赢”理财计划（产品代码：8129）,,,招商银行,,2100-01-01,,
QDII,网上,,2008-04-25 00:00,海外寻宝系列,,招商银行“金葵花”—海外寻宝系列之招银商品指数投资组合理财计划（产品代码：8139）,,,招商银行,,2100-01-01,,
,网上,,2008-02-20 00:00,新股申购系列,,“金葵花”新股集合号之中国铁建新股申购理财计划（产品编号：8203）,,5-15％,招商银行,,2100-01-01,,
"固定收益型,债券型",网上,,2009-02-18 00:00,安心回报系列,,招商银行美元岁月流金90天理财计划（代码：8524）,,,招商银行,,2100-01-01,,
浮动收益型,网上,,2009-03-26 00:00,招银进宝系列,,招商银行金葵花—招银进宝系列之人民币日日盈理财计划（产品代码：8166）,,,招商银行,,2022-01-13,,
固定收益型,网上,,2009-10-21 00:00,私人银行系列,,私人银行固定收益系列之福瑞连年理财计划,,,招商银行,,2019-11-15,,
固定收益型,网上,,2009-04-27 00:00,安心回报系列,,招商银行港币岁月流金180天理财计划（代码：8536）,,,招商银行,,2100-01-01,,
固定收益型,网上,,2009-04-27 00:00,安心回报系列,,招商银行美元岁月流金180天理财计划（代码：8526）,,,招商银行,,2100-01-01,,
QDII,网上,,2008-01-23 00:00,海外寻宝系列,,招商银行“金葵花”—QDII系列之招银资产管理全球核心+卫星双引擎增长组合理财计划（代码：8138）,,,招商银行,,2100-01-01,,
固定收益型,网上,,2009-11-13 00:00,招银进宝系列,,招商银行“金葵花”招银进宝之信贷资产744号理财计划（代码：4404）-杭州分行销售,,,招商银行,,2100-01-01,,
"固定收益型,债券型",网上,,2009-02-18 00:00,安心回报系列,,招商银行港币岁月流金90天理财计划（代码：8534）,,,招商银行,,2100-01-01,,
固定收益型,网上,,2009-11-18 00:00,招银进宝系列,,招商银行“金葵花”招银进宝之信贷资产748号理财计划（代码：4408）-杭州分行销售,,,招商银行,,2100-01-01,,
固定收益型,网上,,2009-11-18 00:00,招银进宝系列,,招商银行“金葵花”招银进宝之信贷资产723号理财计划（代码：4383）-杭州分行销售,,,招商银行,,2100-01-01,,
固定收益型,网上,,2010-03-11 00:00,安心回报系列,,招商银行人民币岁月流金360天理财计划（代码：8509）,,,招商银行,,2100-01-01,,
固定收益型,网上,,2009-11-18 00:00,招银进宝系列,,招商银行“金葵花”招银进宝之信贷资产741号理财计划（代码：4401）-杭州分行销售,,,招商银行,,2100-01-01,,
固定收益型,网上,,2010-03-11 00:00,安心回报系列,,招商银行人民币岁月流金180天理财计划（代码：8507）,,,招商银行,,2100-01-01,,
固定收益型,网上,,2010-03-11 00:00,安心回报系列,,招商银行人民币岁月流金90天理财计划（代码：8506）,,,招商银行,,2100-01-01,,
浮动收益型,网上,,2010-05-10 00:00,招银进宝系列,,招商银行钻石财富—招银进宝系列之人民币尊享日日盈理财计划（产品代码：8168）,理财期限?本理财计划将于,,招商银行,,2022-01-13,,
固定收益型,网上,,2010-05-11 00:00,招银进宝系列,,招商银行“钻石财富”招银进宝系列之平安连金理财计划（代码：8170）,,,招商银行,,2020-06-15,,
固定收益型,网上，手机，PAD，网点,,2015-09-18 09:30,招银进宝系列,,美元日益月鑫理财计划A款90天,,,招商银行,,2025-09-22,,
固定收益型,网上,,2010-03-11 00:00,安心回报系列,,招商银行人民币岁月流金270天理财计划（代码：8508）,,,招商银行,,2100-01-01,,
固定收益型,网上,,2009-11-24 00:00,招银进宝系列,,招商银行“金葵花”招银进宝之信贷资产1026号理财计划（代码：4686）-苏州分行销售,,,招商银行,,2100-01-01,,
浮动收益型,网上,,2010-08-11 00:00,私人银行系列,,招商银行私人至尊—招银进宝系列之人民币日日盈理财计划（产品代码：9449 ）,,,招商银行,,2022-01-13,,
浮动收益型,网上,,2010-06-10 00:00,私人银行系列,,招商银行私家典藏—招银进宝系列之人民币日日盈理财计划产品代码:9439,,,招商银行,,2022-01-13,,
固定收益型,网上,,2010-05-19 00:00,安心回报系列,,招商银行澳元岁月流金90天理财计划（代码：8544）,,,招商银行,,2100-12-31,,
"固定收益型,债券型",网上,,2011-01-26 00:00,私人银行系列,,招商银行私人荣耀—招银进宝系列之人民币日日盈理财计划（产品代码：9469 ）,,,招商银行,,2022-01-13,,
固定收益型,网上,,2010-07-21 00:00,招银进宝系列,,招商银行招银进宝之贷里淘金162号理财计划（代码：2362）-北京分行销售,,,招商银行,,2100-01-01,,
固定收益型,网上,,2011-04-14 00:00,安心回报系列,,招商银行美元岁月流金360天理财计划（代码：8529）,,,招商银行,,2199-12-31,,
固定收益型,网上,,2011-04-14 00:00,安心回报系列,,招商银行澳元岁月流金360天理财计划（代码：8549）,,,招商银行,,2199-12-31,,
固定收益型,网上,,2010-11-25 00:00,招银进宝系列,,招商银行节节高升－招银进宝之点贷成金100号理财计划（代码：4980）-武汉分行销售,,,招商银行,,2100-01-01,,
固定收益型,网上,,2011-04-14 00:00,安心回报系列,,招商银行澳元岁月流金180天理财计划（代码：8546）,,,招商银行,,2199-12-31,,
浮动收益型,网上，手机，PAD，网点,,2011-12-28 00:00,招银进宝系列,,招商银行招银进宝系列之朝招金（多元稳健型）理财计划（代码：8196）,,,招商银行,,2020-01-10,,
浮动收益型,网上,,2010-11-12 00:00,招银进宝系列,,招商银行“钻石财富”招银进宝系列之平安连金理财计划（代码：8180）,,,招商银行,,2020-12-07,,
固定收益型,网上,,2011-05-17 00:00,安心回报系列,,招商银行金葵花尊享之人民币岁月流金90天理财计划（代码：8573）,,,招商银行,,2199-12-31,,
浮动收益型,网上,,2011-08-01 00:00,焦点联动系列,,招商银行焦点联动系列之欧元汇率区间表现联动28天理财计划（代码：8829）,,,招商银行,,2199-12-31,,
固定收益型,网上,,2012-04-19 00:00,安心回报系列,,招商银行安心回报之美元岁月流金253号理财计划（产品代码：105220）,,,招商银行,,2100-01-01,,
固定收益型,网上,,2012-01-11 00:00,安心回报系列,,招商银行英镑岁月流金90天理财计划（代码：8596）,,,招商银行,,2100-12-31,,
浮动收益型,网上,,2012-08-06 00:00,招银进宝系列,,招商银行手机银行专享—招银进宝系列之人民币日日盈理财计划（产品代码：8169）,,,招商银行,,2022-01-13,,
浮动收益型,网上,,2012-03-12 00:00,焦点联动系列,,招商银行焦点联动系列之欧元汇率区间表现联动28天理财计划（代码：8832）,,,招商银行,,2020-12-31,,
浮动收益型,网上,,2012-08-24 00:00,招银进宝系列,,招商银行招银进宝之点贷成金步步生金1号理财计划（产品代码：6901）,,,招商银行,,2017-08-24,,
浮动收益型,网上，手机，PAD，网点,,2012-12-18 09:00,招银进宝系列,,天添金理财计划,,,招商银行,,2020-12-25,,
浮动收益型,网上，手机，PAD，网点,,2013-05-30 09:00,A股掘金系列,,睿远四期理财计划,,,招商银行,,2016-06-15,,
固定收益型,网上，手机，PAD，网点,,2013-06-24 10:00,招银进宝系列,,点贷成金2296号理财计划,,,招商银行,,2100-01-01,,
浮动收益型,网上，手机，PAD，网点,,2013-07-30 09:30,招银进宝系列,,日益月鑫60天理财计划,,,招商银行,,2100-01-01,,
浮动收益型,网上,,2012-02-13 00:00,焦点联动系列,,招商银行焦点联动系列之黄金表现联动3个月理财计划（代码：8831）-北京分行销售,,,招商银行,,2017-02-17,,
固定收益型,网上,,2012-01-11 00:00,安心回报系列,,招商银行欧元岁月流金90天理财计划（代码：8586）,,,招商银行,,2100-12-31,,
浮动收益型,网上,,2013-03-21 00:00,招银进宝系列,,步步生金2号理财计划,,,招商银行,,2018-03-21,,
浮动收益型,网上，手机，PAD，网点,,2013-07-30 09:30,招银进宝系列,,日益月鑫14天理财计划,,,招商银行,,2100-01-01,,
浮动收益型,网上，手机，PAD，网点,,2013-07-30 09:30,招银进宝系列,,日益月鑫21天理财计划,,,招商银行,,2100-01-01,,
浮动收益型,网上，手机，PAD，网点,,2013-07-30 09:30,招银进宝系列,,日益月鑫7天理财计划,,,招商银行,,2100-01-01,,
固定收益型,网点,,2013-09-16 10:00,招银进宝系列,,债券积极套利13号理财计划,,,招商银行,,2016-09-23,,
浮动收益型,网上，手机，PAD，网点,,2013-07-30 09:30,招银进宝系列,,日益月鑫180天理财计划,,,招商银行,,2100-01-01,,
浮动收益型,网上，手机，PAD，网点,,2013-11-07 09:30,日日金系列,,赛宝金理财计划,,,招商银行,,2016-11-07,,
浮动收益型,网上，手机，PAD，网点,,2013-11-27 09:30,安心回报系列,,美元步步生金10号保本理财计划,,,招商银行,,2018-11-27,,
浮动收益型,网上，手机，PAD，网点,,2013-11-27 09:30,安心回报系列,,港币步步生金12号保本理财计划,,,招商银行,,2018-11-27,,
浮动收益型,网上，手机，PAD，网点,,2013-09-25 09:00,A股掘金系列,,睿远五期理财计划,,,招商银行,,2016-10-15,,
固定收益型,网上，手机，PAD，网点,,2013-11-20 09:30,安心回报系列,,保本步步生金6号理财计划,,,招商银行,,2018-11-20,,
浮动收益型,网上，手机，PAD，网点,,2013-11-27 09:30,安心回报系列,,澳元步步生金11号保本理财计划,,,招商银行,,2018-11-27,,
固定收益型,网上，手机，PAD，网点,,2014-01-17 00:00,招银进宝系列,,步步生金900001号,,,招商银行,,2018-12-20,,
固定收益型,网点,,2014-01-21 10:00,招银进宝系列,,债券积极套利21号理财计划,,,招商银行,,2017-01-28,,
固定收益型,网上，手机，PAD，网点,,2014-01-28 00:00,招银进宝系列,,美元步步生金6913号不保本理财计划,,0.00%,招商银行,,2019-01-28,,
固定收益型,网上，手机，PAD，网点,,2014-02-18 10:00,招银进宝系列,,鼎鼎成金901120号理财计划,,,招商银行,,2100-01-01,,
浮动收益型,网上，手机，PAD，网点,,2014-02-28 09:00,A股掘金系列,,睿远六期理财计划,,,招商银行,,2017-03-12,,
固定收益型,网上，手机，PAD，网点,,2014-04-02 10:00,招银进宝系列,,鼎鼎成金10355号理财计划-武汉分行销售,,,招商银行,,2017-03-24,,
固定收益型,网上，手机，PAD，网点,,2014-05-09 00:00,招银进宝系列,,欧元步步生金6917号不保本理财计划,,0.00%,招商银行,,2019-05-09,,
固定收益型,网上，手机，PAD，网点,,2014-05-09 00:00,招银进宝系列,,英镑步步生金6916号不保本理财计划,,0.00%,招商银行,,2019-05-09,,
固定收益型,网点,,2014-08-18 10:00,招银进宝系列,,债券积极套利29号理财计划,,,招商银行,,2016-08-22,,
固定收益型,网上，手机，PAD，网点,,2014-03-06 09:30,招银进宝系列,,睿逸系列月添利理财计划,,,招商银行,,2024-03-10,,
浮动收益型,网上，手机，PAD，网点,,2014-07-25 09:00,A股掘金系列,,睿远七期理财计划,,,招商银行,,2017-08-08,,
固定收益型,网上，手机，PAD，网点,,2014-05-09 00:00,招银进宝系列,,港币步步生金6914号不保本理财计划,,0.00%,招商银行,,2019-05-09,,
固定收益型,网上，手机，PAD，网点,,2014-05-09 00:00,招银进宝系列,,澳元步步生金6915号不保本理财计划,,0.00%,招商银行,,2019-05-09,,
浮动收益型,网上，手机，PAD，网点,,2013-07-30 09:30,招银进宝系列,,日益月鑫90天理财计划,,,招商银行,,2100-01-01,,
固定收益型,网点,,2014-07-21 10:00,招银进宝系列,,债券积极套利28号理财计划,,,招商银行,,2016-07-25,,
浮动收益型,网上，手机，PAD，网点,,2014-09-12 09:00,招银进宝系列,,美元天添金理财计划,,,招商银行,,2017-09-19,,
债券型,网上，手机，PAD，网点,,2014-12-30 10:00,招银进宝系列,,周周发,,,招商银行,,2020-01-05,,
固定收益型,网上，手机，PAD，网点,,2015-02-11 10:00,招银进宝系列,,鼎鼎成金12378号理财计划-武汉分行销售,,5.70％,招商银行,,2016-09-01,,
固定收益型,网上，手机，PAD，网点,,2015-03-11 10:00,招银进宝系列,,鼎鼎成金12387号理财计划-南京分行销售,,6.00％,招商银行,,2018-05-16,,
浮动收益型,网上，手机，PAD，网点,,2014-09-22 09:00,招银进宝系列,,天添金稳健型理财计划,,,招商银行,,2017-09-30,,
固定收益型,网上，手机，PAD，网点,,2015-01-27 10:00,招银进宝系列,,鼎鼎成金12140号理财计划-银川分行销售,,5.20％,招商银行,,2100-01-01,,
浮动收益型,网上，手机，PAD，网点,,2014-12-30 10:00,A股掘金系列,,睿远八期理财计划,,,招商银行,,2018-01-16,,
固定收益型,网上，手机，PAD，网点,,2015-03-24 10:00,招银进宝系列,,鼎鼎成金12539号理财计划-南京分行销售,,6.00％,招商银行,,2016-05-16,,
固定收益型,网上，手机，PAD，网点,,2015-03-27 10:00,招银进宝系列,,鼎鼎成金12679号理财计划-青岛分行、总行营业部销售,,6.00％,招商银行,,2016-08-19,,
浮动收益型,网上，手机，PAD，网点,,2015-03-25 10:00,A股掘金系列,,睿远稳健九期理财计划,,,招商银行,,2018-04-02,,
浮动收益型,网上，手机，PAD，网点,,2013-07-30 09:30,招银进宝系列,,日益月鑫30天理财计划,,,招商银行,,2100-01-01,,
浮动收益型,网上，手机，PAD，网点,,2015-03-25 10:00,A股掘金系列,,睿远平衡一期理财计划,,,招商银行,,2018-04-02,,
浮动收益型,网上，手机，PAD，网点,,2015-04-13 09:00,招银进宝系列,,天添金进取型理财计划,,,招商银行,,2025-04-15,,
固定收益型,网上，手机，PAD，网点,,2015-04-30 10:00,A股掘金系列,,弘远稳健一期理财计划,,,招商银行,,2018-05-07,,
固定收益型,网上，手机，PAD，网点,,2015-05-07 09:30,招银进宝系列,,日益月鑫进取型理财计划B款180天,,,招商银行,,2025-05-08,,
固定收益型,网上，手机，PAD，网点,,2015-05-07 09:30,招银进宝系列,,日益月鑫进取型理财计划B款60天,,,招商银行,,2025-05-08,,
固定收益型,网上，手机，PAD，网点,,2015-05-07 09:30,招银进宝系列,,朝招金（多元积极型）理财计划,,,招商银行,,2025-05-11,,
浮动收益型,网上，手机，PAD，网点,,2015-05-11 10:00,A009 结构性存款系列,,黄金两层区间十二个月结构性存款,,,招商银行,,2016-05-12,,
固定收益型,网上，手机，PAD，网点,,2015-05-11 10:00,招银进宝系列,,鼎鼎成金960054号理财计划,,,招商银行,,2016-05-12,,
固定收益型,网上，手机，PAD，网点,,2015-05-11 10:00,招银进宝系列,,鼎鼎成金12797号理财计划-南京分行销售,,6.00％,招商银行,,2016-08-23,,
固定收益型,网上，手机，PAD，网点,,2015-05-07 09:30,招银进宝系列,,日益月鑫进取型理财计划B款30天,,,招商银行,,2025-05-08,,
固定收益型,网上，手机，PAD，网点,,2015-05-12 09:00,招银进宝系列,,鼎鼎成金901607号理财计划-上海分行销售,,,招商银行,,2016-05-09,,
浮动收益型,网上，手机，PAD，网点,,2015-05-11 10:00,A股掘金系列,,睿远稳健十期理财计划,,,招商银行,,2018-05-15,,
浮动收益型,网上，手机，PAD，网点,,2015-05-18 10:00,A009 结构性存款系列,,黄金两层区间十二个月结构性存款,,,招商银行,,2016-05-19,,
浮动收益型,网上，手机，PAD，网点,,2015-05-25 10:00,A009 结构性存款系列,,黄金两层区间十二个月结构性存款,,,招商银行,,2016-05-26,,
固定收益型,网上，手机，PAD，网点,,2015-05-18 10:00,招银进宝系列,,鼎鼎成金960055号理财计划,,,招商银行,,2016-05-19,,
浮动收益型,网上，手机，PAD，网点,,2015-06-01 10:00,A009 结构性存款系列,,黄金两层区间十二个月结构性存款,,,招商银行,,2016-06-02,,
浮动收益型,网上，手机，PAD，网点,,2015-05-19 10:00,A股掘金系列,,恒睿博荟理财计划,,,招商银行,,2025-05-27,,
浮动收益型,网上，手机，PAD，网点,,2015-05-29 10:00,A股掘金系列,,睿远稳健十一期理财计划,,,招商银行,,2018-06-05,,
固定收益型,网点,,2015-05-29 10:00,招银进宝系列,,债券积极套利35号理财计划,,,招商银行,,2016-06-04,,
固定收益型,网上，手机，PAD，网点,,2015-06-05 10:00,招银进宝系列,,鼎鼎成金13089号理财计划-南宁分行销售,,5.90％,招商银行,,2016-05-23,,
浮动收益型,网上，手机，PAD，网点,,2015-06-15 10:00,A009 结构性存款系列,,黄金两层区间十二个月结构性存款,,,招商银行,,2016-06-16,,
