fxdj,gmbz,cplx,xsjz,xsqs,tzfw,cpmc,tzqx,sylx,fxyh,fxdq,yqsy,kfsh,qsje
浮动收益型,网上，手机，PAD，网点,,2016-05-04 10:00,A009 结构性存款系列,,挂钩黄金两层区间十二个月结构性存款,,,招商银行,,2017-05-05,,
固定收益型,网上，手机，PAD，网点,,2016-05-03 10:00,招银进宝系列,,鼎鼎成金13992号理财计划-西安分行销售,71,4.05％,招商银行,,2016-07-20,,
浮动收益型,网上，手机，PAD，网点,,2016-05-04 10:00,A009 结构性存款系列,,挂钩黄金两层区间六个月结构性存款,,,招商银行,,2016-11-03,,
浮动收益型,网上，手机，PAD，网点,,2016-05-04 10:00,A009 结构性存款系列,,挂钩黄金两层区间三个月结构性存款,,,招商银行,,2016-08-03,,
固定收益型,网上，手机，PAD，网点,,2016-05-03 10:00,招银进宝系列,,私人增利系列92号理财计划,,4.15%,招商银行,,2016-07-13,,
固定收益型,网上，手机，PAD，网点,,2016-05-04 10:00,招银进宝系列,,美元鼎鼎成金0413号理财计划,,2.10％,招商银行,,2017-05-11,,
浮动收益型,网上，手机，PAD，网点,,2016-05-04 10:00,焦点联动系列,,股票指数表现联动（沪深300指数向上触碰型）非保本理财计划,,,招商银行,,2016-09-08,,
固定收益型,网上，手机，PAD，网点,,2016-05-04 10:00,招银进宝系列,,美元鼎鼎成金0383号理财计划,,2.45％,招商银行,,2017-11-09,,
固定收益型,网上，手机，PAD，网点,,2016-05-04 10:00,招银进宝系列,,鼎鼎成金16006号理财计划南宁分行销售,202,4.45％,招商银行,,2016-12-01,,
固定收益型,网上，手机，PAD，网点,,2016-05-04 10:00,招银进宝系列,,金葵花增利系列200007号理财计划-广州分行销售,191,4.60%,招商银行,,2016-11-17,,
固定收益型,网上，手机，PAD，网点,,2016-05-20 10:00,招银进宝系列,,金葵花增利系列243号理财计划,,,招商银行,,2016-10-28,,
固定收益型,网上，手机，PAD，网点,,2016-05-04 10:00,招银进宝系列,,金葵花增利系列226号理财计划,,,招商银行,,2016-07-12,,
固定收益型,网上，手机，PAD，网点,,2016-05-05 10:00,招银进宝系列,,鼎鼎成金14995号理财计划-长沙分行销售,55,4.10％,招商银行,,2016-07-04,,
固定收益型,网上，手机，PAD，网点,,2016-05-04 10:00,招银进宝系列,,金葵花增利系列200095号理财计划-杭州分行销售,86,4.3%,招商银行,,2016-08-05,,
固定收益型,网上，手机，PAD，网点,,2016-05-04 10:00,招银进宝系列,,金葵花增利系列200008号理财计划-广州分行销售,191,4.60%,招商银行,,2016-11-17,,
固定收益型,网上，手机，PAD，网点,,2016-05-04 10:00,招银进宝系列,,金葵花增利系列200077号理财计划-上海分行销售,124,4.20%,招商银行,,2016-09-13,,
固定收益型,网上，手机，PAD，网点,,2016-05-05 10:00,招银进宝系列,,鼎鼎成金16028号理财计划-南京分行销售,44,4.20％,招商银行,,2016-06-23,,
固定收益型,网上，手机，PAD，网点,,2016-05-06 10:00,招银进宝系列,,私人增利系列97号理财计划,,4.3%,招商银行,,2016-11-03,,
固定收益型,网上，手机，PAD，网点,,2016-05-06 10:00,招银进宝系列,,私人增利系列98号理财计划,,4.25%,招商银行,,2016-08-04,,
固定收益型,网上，手机，PAD，网点,,2016-05-05 10:00,招银进宝系列,,鼎鼎成金14763号理财计划-苏州分行销售,63,4.30％,招商银行,,2016-07-12,,
固定收益型,网上，手机，PAD，网点,,2016-05-05 10:00,招银进宝系列,,私人增利系列95号理财计划,,4.1%,招商银行,,2016-06-22,,
固定收益型,网上，手机，PAD，网点,,2016-05-04 10:00,招银进宝系列,,港币鼎鼎成金0821号理财计划,,1.40％,招商银行,,2016-11-10,,
固定收益型,网上，手机，PAD，网点,,2016-05-06 10:00,招银进宝系列,,鼎鼎成金16066号理财计划-太原分行销售,132,4.30％,招商银行,,2016-09-22,,
固定收益型,网上，手机，PAD，网点,,2016-05-05 10:00,招银进宝系列,,鼎鼎成金960103号理财计划,,2.2%,招商银行,,2017-05-11,,
固定收益型,网上，手机，PAD，网点,,2016-05-05 10:00,招银进宝系列,,私人增利系列96号理财计划,,4.15%,招商银行,,2016-07-20,,
固定收益型,网上，手机，PAD，网点,,2016-05-06 10:00,招银进宝系列,,金葵花增利系列228号理财计划,,,招商银行,,2016-10-21,,
固定收益型,网上，手机，PAD，网点,,2016-05-06 10:00,A股掘金系列,,睿远稳健十八期理财计划,,,招商银行,,2019-05-12,,
固定收益型,网上，手机，PAD，网点,,2016-05-06 10:00,招银进宝系列,,金葵花增利系列227号理财计划,,,招商银行,,2016-07-22,,
固定收益型,网上，手机，PAD，网点,,2016-05-06 10:00,招银进宝系列,,金葵花增利系列200078号理财计划-上海分行销售,130,4.20%,招商银行,,2016-09-20,,
固定收益型,网上，手机，PAD，网点,,2016-05-06 10:00,招银进宝系列,,鼎鼎成金14950号理财计划-天津、深圳分行销售,151,4.40％,招商银行,,2016-10-11,,
固定收益型,网上，手机，PAD，网点,,2016-05-06 10:00,招银进宝系列,,鼎鼎成金14768号理财计划-苏州分行销售,153,4.40％,招商银行,,2016-10-13,,
固定收益型,网上，手机，PAD，网点,,2016-05-09 10:00,招银进宝系列,,金葵花增利系列200040号理财计划-武汉分行销售,,4.4%,招商银行,,2016-08-17,,
固定收益型,网上，手机，PAD，网点,,2016-05-06 10:00,招银进宝系列,,鼎鼎成金14996号理财计划-长沙分行销售,61,4.10％,招商银行,,2016-07-12,,
固定收益型,网上，手机，PAD，网点,,2016-05-09 10:00,招银进宝系列,,金葵花增利系列200079号理财计划-上海分行销售,170,4.25%,招商银行,,2016-11-03,,
固定收益型,网上，手机，PAD，网点,,2016-05-09 10:00,招银进宝系列,,鼎鼎成金16007号理财计划-南宁分行销售,198,4.45％,招商银行,,2016-12-01,,
浮动收益型,网上，手机，PAD，网点,,2016-05-10 10:00,A009 结构性存款系列,,挂钩黄金两层区间六个月结构性存款,,,招商银行,,2016-11-10,,
浮动收益型,网上，手机，PAD，网点,,2016-05-10 10:00,A009 结构性存款系列,,挂钩黄金两层区间三个月结构性存款,,,招商银行,,2016-08-10,,
浮动收益型,网上，手机，PAD，网点,,2016-05-10 10:00,A009 结构性存款系列,,挂钩黄金两层区间十二个月结构性存款,,,招商银行,,2017-05-12,,
固定收益型,网上，手机，PAD，网点,,2016-04-15 10:00,招银进宝系列,,金葵花增利系列206号理财计划,,,招商银行,,2016-06-24,,
固定收益型,网上，手机，PAD，网点,,2016-05-09 10:00,招银进宝系列,,金葵花增利系列200003号理财计划-广州分行销售,174,4.50%,招商银行,,2016-11-03,,
固定收益型,网上，手机，PAD，网点,,2016-04-15 10:00,招银进宝系列,,金葵花增利系列205号理财计划,,,招商银行,,2016-06-03,,
